id,customer_id,transaction_date,online_order,order_status,product_id,brand,product_line,product_class,product_size
17002,22,1/6/2017,True,Cancelled,64,Trek Bicycles,Standard,medium,large
7024,33,7/29/2017,True,Cancelled,18,Solex,Standard,medium,medium
3342,41,8/3/2017,False,Cancelled,67,Norco Bicycles,Road,medium,medium
11926,66,6/26/2017,False,Cancelled,36,Solex,Standard,low,medium
3197,113,1/4/2017,False,Cancelled,96,WeareA2B,Road,low,small
3700,125,8/27/2017,False,Cancelled,95,Giant Bicycles,Standard,medium,large
19990,135,1/27/2017,True,Cancelled,55,Trek Bicycles,Road,medium,large
2633,149,10/17/2017,,Cancelled,9,OHM Cycles,Road,medium,medium
14005,157,6/22/2017,True,Cancelled,27,Trek Bicycles,Standard,medium,medium
4572,170,5/10/2017,True,Cancelled,5,Giant Bicycles,Standard,high,medium
8293,177,6/1/2017,True,Cancelled,91,WeareA2B,Standard,low,medium
8510,190,12/1/2017,True,Cancelled,19,OHM Cycles,Road,high,large
8423,201,7/13/2017,False,Cancelled,15,Norco Bicycles,Standard,low,medium
8731,224,4/26/2017,True,Cancelled,26,WeareA2B,Standard,medium,medium
7894,230,5/11/2017,True,Cancelled,66,Solex,Standard,medium,medium
2651,240,4/9/2017,False,Cancelled,69,Norco Bicycles,Road,medium,large
11741,248,5/5/2017,True,Cancelled,49,Trek Bicycles,Road,medium,medium
17514,253,3/22/2017,False,Cancelled,9,OHM Cycles,Road,medium,medium
5649,264,11/12/2017,False,Cancelled,74,WeareA2B,Standard,medium,medium
11591,286,8/15/2017,True,Cancelled,60,Giant Bicycles,Standard,high,small
6799,287,8/14/2017,True,Cancelled,83,Solex,Touring,medium,large
7988,307,11/6/2017,True,Cancelled,20,Trek Bicycles,Standard,medium,small
3895,343,9/18/2017,False,Cancelled,54,WeareA2B,Standard,medium,medium
18942,390,9/20/2017,True,Cancelled,17,Solex,Standard,high,medium
5642,399,11/11/2017,True,Cancelled,17,Solex,Standard,high,medium
4469,416,3/28/2017,False,Cancelled,79,Norco Bicycles,Standard,medium,medium
11667,424,9/11/2017,True,Cancelled,32,Giant Bicycles,Standard,high,medium
7155,429,4/4/2017,True,Cancelled,40,Trek Bicycles,Road,medium,large
1644,433,5/11/2017,True,Cancelled,11,Giant Bicycles,Standard,high,medium
1917,450,9/16/2017,False,Cancelled,79,Norco Bicycles,Standard,medium,medium
16466,463,11/1/2017,False,Cancelled,59,Solex,Standard,medium,large
4353,484,11/2/2017,True,Cancelled,41,Solex,Road,medium,medium
43,488,3/17/2017,False,Cancelled,76,WeareA2B,Standard,low,medium
3474,494,4/4/2017,True,Cancelled,86,OHM Cycles,Standard,medium,medium
10312,511,11/16/2017,True,Cancelled,92,WeareA2B,Touring,medium,large
8359,528,7/6/2017,True,Cancelled,91,Solex,Standard,medium,medium
12343,538,5/23/2017,False,Cancelled,74,WeareA2B,Standard,medium,medium
6660,607,9/20/2017,False,Cancelled,80,OHM Cycles,Touring,low,medium
13311,612,12/29/2017,True,Cancelled,83,Solex,Touring,medium,large
4133,657,10/15/2017,True,Cancelled,42,OHM Cycles,Road,medium,small
4484,714,7/27/2017,False,Cancelled,93,OHM Cycles,Standard,high,medium
10318,719,4/3/2017,False,Cancelled,33,Giant Bicycles,Standard,medium,small
5343,772,7/11/2017,False,Cancelled,37,OHM Cycles,Standard,low,medium
5219,782,2/22/2017,False,Cancelled,20,Trek Bicycles,Standard,medium,small
18615,785,10/29/2017,False,Cancelled,89,WeareA2B,Touring,medium,large
11243,845,9/24/2017,False,Cancelled,94,Giant Bicycles,Standard,medium,large
7973,891,12/10/2017,False,Cancelled,33,OHM Cycles,Road,medium,small
17125,915,4/13/2017,False,Cancelled,93,WeareA2B,Standard,medium,medium
11618,926,9/27/2017,False,Cancelled,92,WeareA2B,Standard,medium,small
14296,930,12/9/2017,,Cancelled,78,Giant Bicycles,Standard,medium,large
10319,938,8/24/2017,False,Cancelled,22,WeareA2B,Standard,medium,medium
